api  | 2025-10-20T19:47:37.188988934Z {"level":30,"time":1760989657188,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T19:51:48.521666977Z {"level":30,"time":1760989908521,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T19:51:58.575225927Z {"level":30,"time":1760989918575,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":1,"msg":"request completed"}
api  | 2025-10-20T19:52:08.628458475Z {"level":30,"time":1760989928628,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":1,"msg":"request completed"}
api  | 2025-10-20T19:52:18.676076599Z {"level":30,"time":1760989938675,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T19:52:28.722743452Z {"level":30,"time":1760989948722,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T19:52:38.766569170Z {"level":30,"time":1760989958766,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T19:52:48.815077331Z {"level":30,"time":1760989968814,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T19:52:58.865434642Z {"level":30,"time":1760989978865,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T19:53:08.887739076Z {"level":30,"time":1760989988887,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T19:53:18.933404655Z {"level":30,"time":1760989998933,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":1,"msg":"request completed"}
api  | 2025-10-20T19:53:28.984856317Z {"level":30,"time":1760990008984,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T19:53:39.048751615Z {"level":30,"time":1760990019048,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T19:53:49.092636292Z {"level":30,"time":1760990029092,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T19:53:59.148030144Z {"level":30,"time":1760990039147,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T19:54:09.215898369Z {"level":30,"time":1760990049215,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T19:54:19.259951661Z {"level":30,"time":1760990059259,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T19:54:29.310994062Z {"level":30,"time":1760990069310,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T19:54:39.359497605Z {"level":30,"time":1760990079359,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":1,"msg":"request completed"}
api  | 2025-10-20T19:54:49.406748759Z {"level":30,"time":1760990089406,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T19:54:59.454387323Z {"level":30,"time":1760990099454,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":1,"msg":"request completed"}
api  | 2025-10-20T19:55:09.518981798Z {"level":30,"time":1760990109518,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T19:55:19.574026611Z {"level":30,"time":1760990119573,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T19:55:29.624912614Z {"level":30,"time":1760990129624,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T19:55:39.692721391Z {"level":30,"time":1760990139692,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T19:55:49.729065424Z {"level":30,"time":1760990149728,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T19:55:59.795890688Z {"level":30,"time":1760990159795,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T19:56:09.855798700Z {"level":30,"time":1760990169855,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T19:56:19.908469937Z {"level":30,"time":1760990179908,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":1,"msg":"request completed"}
api  | 2025-10-20T19:56:29.958985329Z {"level":30,"time":1760990189958,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T19:56:40.014593437Z {"level":30,"time":1760990200014,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T19:56:50.070808840Z {"level":30,"time":1760990210070,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T19:57:00.125262706Z {"level":30,"time":1760990220125,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":1,"msg":"request completed"}
api  | 2025-10-20T19:57:10.180969953Z {"level":30,"time":1760990230180,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T19:57:20.224885195Z {"level":30,"time":1760990240224,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T19:57:30.280568788Z {"level":30,"time":1760990250280,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T19:57:40.324475517Z {"level":30,"time":1760990260324,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T19:57:50.380620820Z {"level":30,"time":1760990270380,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T19:58:00.427320556Z {"level":30,"time":1760990280427,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":1,"msg":"request completed"}
api  | 2025-10-20T19:58:10.463609119Z {"level":30,"time":1760990290463,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T19:58:20.499817602Z {"level":30,"time":1760990300499,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T19:58:30.550672951Z {"level":30,"time":1760990310550,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T19:58:40.599156874Z {"level":30,"time":1760990320599,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":1,"msg":"request completed"}
api  | 2025-10-20T19:58:50.658770020Z {"level":30,"time":1760990330658,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T19:59:00.713903850Z {"level":30,"time":1760990340713,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T19:59:10.737377425Z {"level":30,"time":1760990350737,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":1,"msg":"request completed"}
api  | 2025-10-20T19:59:20.790830459Z {"level":30,"time":1760990360790,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T19:59:30.844449446Z {"level":30,"time":1760990370844,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":1,"msg":"request completed"}
api  | 2025-10-20T19:59:40.896923566Z {"level":30,"time":1760990380896,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T19:59:50.932956561Z {"level":30,"time":1760990390932,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T20:00:01.004648018Z {"level":30,"time":1760990401004,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T20:00:11.047684163Z {"level":30,"time":1760990411047,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T20:00:21.113033202Z {"level":30,"time":1760990421112,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T20:00:31.154292702Z {"level":30,"time":1760990431154,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":1,"msg":"request completed"}
api  | 2025-10-20T20:00:41.197892683Z {"level":30,"time":1760990441197,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T20:00:51.250398930Z {"level":30,"time":1760990451250,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":1,"msg":"request completed"}
api  | 2025-10-20T20:01:01.313119007Z {"level":30,"time":1760990461312,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T20:01:11.357006794Z {"level":30,"time":1760990471356,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T20:01:21.413623026Z {"level":30,"time":1760990481413,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T20:01:31.460366801Z {"level":30,"time":1760990491460,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T20:01:41.512409903Z {"level":30,"time":1760990501512,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T20:01:51.556541841Z {"level":30,"time":1760990511556,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T20:02:01.623752300Z {"level":30,"time":1760990521623,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T20:02:11.670692441Z {"level":30,"time":1760990531670,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T20:02:21.734768482Z {"level":30,"time":1760990541734,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T20:02:31.774412247Z {"level":30,"time":1760990551774,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T20:02:41.847937469Z {"level":30,"time":1760990561847,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T22:30:44.920869014Z 
api  | 2025-10-20T22:30:44.921165543Z > mindecho-api@0.1.0 dev
api  | 2025-10-20T22:30:44.921172536Z > nodemon --watch src --ext ts --exec ts-node src/index.ts
api  | 2025-10-20T22:30:44.921184912Z 
api  | 2025-10-20T22:30:45.048775885Z [33m[nodemon] 3.1.10[39m
api  | 2025-10-20T22:30:45.049785141Z [33m[nodemon] to restart at any time, enter `rs`[39m
api  | 2025-10-20T22:30:45.050130791Z [33m[nodemon] watching path(s): src/**/*[39m
api  | 2025-10-20T22:30:45.050144599Z [33m[nodemon] watching extensions: ts[39m
api  | 2025-10-20T22:30:45.050324710Z [32m[nodemon] starting `ts-node src/index.ts`[39m
api  | 2025-10-20T22:30:47.281042866Z {"level":30,"time":1760999447280,"pid":30,"hostname":"9c9a2c551aec","msg":"Conectado a MongoDB"}
api  | 2025-10-20T22:30:47.282547340Z {"level":30,"time":1760999447282,"pid":30,"hostname":"9c9a2c551aec","msg":"API listening on http://localhost:3000"}
api  | 2025-10-20T22:30:54.624407156Z {"level":30,"time":1760999454624,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":3,"msg":"request completed"}
api  | 2025-10-20T22:31:04.674041127Z {"level":30,"time":1760999464673,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T22:31:14.722007475Z {"level":30,"time":1760999474721,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T22:31:24.766330870Z {"level":30,"time":1760999484766,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":1,"msg":"request completed"}
api  | 2025-10-20T22:31:34.815983531Z {"level":30,"time":1760999494815,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T22:31:44.871363769Z {"level":30,"time":1760999504871,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":1,"msg":"request completed"}
api  | 2025-10-20T22:31:54.915582243Z {"level":30,"time":1760999514915,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T22:32:04.965884301Z {"level":30,"time":1760999524965,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T22:32:15.017703438Z {"level":30,"time":1760999535017,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T22:32:25.057309257Z {"level":30,"time":1760999545057,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":1,"msg":"request completed"}
api  | 2025-10-20T22:32:35.100310377Z {"level":30,"time":1760999555100,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":1,"msg":"request completed"}
api  | 2025-10-20T22:32:45.144830135Z {"level":30,"time":1760999565144,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":1,"msg":"request completed"}
api  | 2025-10-20T22:32:55.200346332Z {"level":30,"time":1760999575199,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T22:33:05.250506972Z {"level":30,"time":1760999585250,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T22:33:15.302675585Z {"level":30,"time":1760999595302,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T22:33:25.351875442Z {"level":30,"time":1760999605351,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T22:33:35.409499691Z {"level":30,"time":1760999615409,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":1,"msg":"request completed"}
api  | 2025-10-20T22:33:45.465602660Z {"level":30,"time":1760999625465,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T22:33:55.501530987Z {"level":30,"time":1760999635501,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":1,"msg":"request completed"}
api  | 2025-10-20T22:34:05.549128272Z {"level":30,"time":1760999645549,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":1,"msg":"request completed"}
api  | 2025-10-20T22:34:15.607924009Z {"level":30,"time":1760999655607,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T22:34:25.652176673Z {"level":30,"time":1760999665652,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":1,"msg":"request completed"}
api  | 2025-10-20T22:34:35.706196670Z {"level":30,"time":1760999675706,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":1,"msg":"request completed"}
api  | 2025-10-20T22:34:45.746487162Z {"level":30,"time":1760999685746,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T22:34:55.794504257Z {"level":30,"time":1760999695794,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T22:35:05.841760621Z {"level":30,"time":1760999705841,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T22:35:15.885648700Z {"level":30,"time":1760999715885,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T22:35:25.932968293Z {"level":30,"time":1760999725932,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T22:35:35.971979567Z {"level":30,"time":1760999735971,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T22:35:46.008245728Z {"level":30,"time":1760999746008,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":1,"msg":"request completed"}
api  | 2025-10-20T22:35:56.053404472Z {"level":30,"time":1760999756053,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":1,"msg":"request completed"}
api  | 2025-10-20T22:36:06.098771131Z {"level":30,"time":1760999766098,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T22:36:16.138976264Z {"level":30,"time":1760999776138,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":0,"msg":"request completed"}
api  | 2025-10-20T22:36:26.178522524Z {"level":30,"time":1760999786178,"pid":30,"hostname":"9c9a2c551aec","req":{"method":"GET","url":"/health"},"res":{"statusCode":200},"responseTime":1,"msg":"request completed"}
